"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-node1.csv 60",,,,"Date:","11 Aug 2019 10:04:15 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 10:04:15,2.759,1.634,95.470,0.138,0,285667328,7554121728,11501568,477085696,0.300,0.160,0.060,0,0
11-08 10:05:15,0.747,0.560,98.693,0,0,291160064,7547920384,12005376,477151232,0.110,0.130,0.050,570.767,1196.550
11-08 10:06:15,7.722,6.869,84.938,0.471,0,317083648,7018962944,28356608,920350720,0.740,0.310,0.120,743096311.450,741048961.333
11-08 10:07:15,9.028,11.611,79.361,0,0,319492096,7016239104,28454912,920354816,0.780,0.410,0.170,2236048064.517,2236048678.500
11-08 10:08:15,8.730,11.578,79.687,0.004,0,324333568,7011110912,28536832,920354816,0.700,0.470,0.200,2317720364.217,2317720912.733
11-08 10:09:15,8.743,11.633,79.619,0.004,0,325402624,7009890304,28626944,920354816,0.730,0.520,0.240,2350053763.500,2350054270.167
11-08 10:10:15,8.503,11.949,79.547,0,0,325529600,7009632256,28708864,920358912,0.700,0.550,0.270,2425709659.600,2425710176.433
11-08 10:11:15,8.366,12.383,79.247,0.004,0,327692288,7007318016,28823552,920358912,0.650,0.560,0.290,2515287561.700,2515288000.550
11-08 10:12:15,8.737,11.530,79.732,0,0,332869632,7001993216,28921856,920363008,0.600,0.560,0.300,2313009725.200,2313010184.967
11-08 10:13:15,8.610,11.578,79.807,0.004,0,342913024,6991814656,29011968,920363008,0.540,0.550,0.320,2403519573.250,2403521419.167
11-08 10:14:15,9.595,10.655,79.745,0.004,0,343670784,6990921728,29093888,920367104,0.590,0.560,0.330,2071783917,2071784434.383
11-08 10:15:15,9.163,10.732,80.105,0,0,346947584,6985416704,29192192,922464256,0.950,0.670,0.380,2112698493.783,2112699031.167
11-08 10:16:15,9.318,10.426,80.252,0.004,0,346734592,6985367552,29282304,922599424,0.800,0.670,0.400,2088346244.950,2088346709.700
11-08 10:17:15,9.225,10.639,80.132,0.004,0,347381760,6984589312,29372416,922603520,0.730,0.670,0.420,2127232790.833,2127233194.783
11-08 10:18:15,8.971,10.862,80.167,0,0,347717632,6984130560,29462528,922603520,0.950,0.730,0.460,2249059530.933,2249059907.250
11-08 10:19:15,8.952,10.731,80.313,0.004,0,348205056,6983507968,29560832,922611712,0.900,0.770,0.480,2180896296.417,2180896701.967
11-08 10:20:15,8.974,10.344,80.678,0.004,0,344317952,6987259904,29667328,922611712,0.810,0.760,0.500,2065231011.617,2065231418.550
11-08 10:21:15,11.001,5.112,83.887,0,0,348557312,6983974912,29749248,921567232,0.660,0.730,0.510,1014331678.700,1015423684.467
11-08 10:22:15,13.006,0.678,86.311,0.004,0,349528064,6982897664,29847552,921567232,0.680,0.730,0.520,55585879.183,41073843.467
11-08 10:23:15,12.901,0.944,86.155,0,0,350851072,6981464064,29937664,921571328,0.680,0.720,0.530,81854609.233,52376284.117
11-08 10:24:15,12.995,0.990,86.015,0,0,353423360,6978740224,30019584,921608192,0.780,0.770,0.560,101249791.550,60369589.717
11-08 10:25:15,13.120,1.151,85.725,0.004,0,353792000,6978269184,30109696,921608192,0.850,0.810,0.590,160817664.033,92465972.200
11-08 10:26:15,13.119,1.394,85.483,0.004,0,351199232,6980726784,30208000,921612288,0.920,0.830,0.610,179721028.617,100802183.533
11-08 10:27:15,13.297,1.645,85.054,0.004,0,351547392,6980259840,30306304,921612288,0.900,0.840,0.630,216698907.967,119611029.900
11-08 10:28:15,13.241,1.571,85.183,0.004,0,346296320,6985367552,30396416,921657344,0.760,0.820,0.640,224000367.550,122481814.017
11-08 10:29:15,13.287,2.579,84.130,0.004,0,346214400,6985363456,30478336,921657344,0.570,0.770,0.630,29750405.833,33435460.650
11-08 10:30:15,14.049,2.559,83.392,0,0,345317376,6987194368,30568448,920616960,0.490,0.710,0.620,47124638.933,69907944.017
11-08 10:31:15,13.633,2.360,84.003,0.004,0,345169920,6987218944,30658560,920616960,0.640,0.730,0.630,68868982.083,112166118.167
11-08 10:32:15,12.630,2.502,84.864,0.004,0,345460736,6986829824,30748672,920616960,0.640,0.730,0.640,83991515.150,144113463.067
11-08 10:33:15,12.826,2.364,84.806,0.004,0,345841664,6986338304,30838784,920625152,1.030,0.810,0.670,106071501.067,187470431.233
11-08 10:34:15,12.364,2.555,85.076,0.004,0,345829376,6986235904,30937088,920625152,0.540,0.710,0.640,107968595.367,194765969.267
11-08 10:35:15,12.055,2.559,85.382,0.004,0,346492928,6985445376,31043584,920633344,0.510,0.670,0.630,129165965.350,236420318.283
11-08 10:36:15,10.898,8.150,80.948,0.004,0,343969792,6987853824,31125504,920633344,0.980,0.750,0.660,1382163818.800,1418838079.483
11-08 10:37:15,10.143,10.827,79.030,0,0,343748608,6987939840,31223808,920637440,0.830,0.750,0.670,2037786764.667,2037786826.367
11-08 10:38:15,10.321,10.615,79.060,0.004,0,344993792,6986571776,31313920,920637440,0.830,0.780,0.680,1965436058.083,1965436163.033
11-08 10:39:15,9.941,10.963,79.096,0,0,344580096,6986829824,31395840,920641536,0.800,0.790,0.690,2162948088.467,2162948248.583
11-08 10:40:15,9.864,10.986,79.146,0.004,0,346644480,6984634368,31485952,920633344,0.640,0.750,0.690,2157126721.417,2157126773.817
11-08 10:41:15,9.854,10.810,79.335,0,0,346615808,6984511488,31576064,920641536,0.600,0.720,0.680,2125183862.767,2125184034.317
11-08 10:42:15,9.785,10.751,79.460,0.004,0,346697728,6984224768,31698944,920821760,0.680,0.720,0.680,2125526758.800,2125526773.117
11-08 10:43:15,8.557,8.149,83.290,0.004,0,348655616,6982311936,31780864,920670208,0.580,0.700,0.680,1450950766.867,1450950829.750
11-08 10:44:15,11.152,2.994,85.854,0,0,347086848,6983802880,31862784,920666112,0.580,0.690,0.680,209844514.483,189636228.900
11-08 10:45:15,7.589,3.228,89.183,0,0,347299840,6983512064,31944704,920662016,0.540,0.650,0.660,418573255.067,437289398.983
11-08 10:46:15,6.254,0.815,92.926,0.004,0,346537984,6984179712,32034816,920666112,0.450,0.610,0.650,49260739.467,26862689.783
11-08 10:47:15,1.012,0.736,98.236,0.017,0,321343488,7010304000,32280576,920612864,0.340,0.560,0.620,18446744024019609600,18446744024032518144
