"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-baseline-node2.csv 60",,,,"Date:","11 Aug 2019 09:08:32 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 09:08:32,0.224,0.127,99.642,0.006,0,113876992,7962566656,8769536,252043264,0.140,0.070,0.010,0,0
11-08 09:09:32,2.778,1.471,95.424,0.327,0,149184512,7455854592,18137088,677416960,0.210,0.100,0.020,2067660.617,16802.983
11-08 09:10:32,0.175,0.096,99.724,0.004,0,151019520,7453941760,18202624,677425152,0.070,0.080,0.020,1032.500,885.717
11-08 09:11:32,0.150,0.142,99.704,0.004,0,153276416,7451594752,18259968,677437440,0.090,0.080,0.020,1019.683,898.867
11-08 09:12:32,0.188,0.121,99.691,0,0,154755072,7450030080,18309120,677453824,0.030,0.060,0.010,989.700,865.317
11-08 09:13:32,0.159,0.096,99.745,0,0,154677248,7450046464,18350080,677462016,0.010,0.050,0.010,1005.167,912.567
11-08 09:14:32,0.204,0.125,99.666,0.004,0,154828800,7449804800,18403328,677474304,0,0.040,0,999.950,914.483
11-08 09:15:32,0.154,0.100,99.745,0,0,155578368,7448989696,18452480,677486592,0,0.030,0,999.983,928
11-08 09:16:32,0.192,0.133,99.670,0.004,0,155537408,7448956928,18509824,677502976,0,0.020,0,994.367,930
11-08 09:17:32,0.188,0.079,99.733,0,0,155738112,7448698880,18558976,677511168,0,0.010,0,987.450,954.283
11-08 09:18:32,0.171,0.088,99.737,0.004,0,156651520,7447707648,18616320,677523456,0,0.010,0,988.083,959.267
11-08 09:19:32,0.221,0.079,99.699,0,0,156860416,7447425024,18681856,677531648,0,0,0,1012.883,1010.633
11-08 09:20:32,0.171,0.092,99.733,0.004,0,157904896,7446310912,18739200,677543936,0,0,0,1013.083,1026.100
11-08 09:21:32,0.213,0.079,99.708,0,0,157282304,7446835200,18804736,677556224,0,0,0,919.083,874.400
11-08 09:22:32,0.196,0.092,99.708,0.004,0,157626368,7446433792,18853888,677564416,0,0,0,1014.867,1044.383
11-08 09:23:32,0.171,0.084,99.745,0,0,157929472,7446069248,18903040,677576704,0.080,0.020,0.010,1011.533,1051.433
11-08 09:24:32,6.900,1.189,91.907,0.004,0,158978048,7443877888,18948096,678637568,0.150,0.040,0.010,13062240.533,12863587.200
11-08 09:25:32,12.959,2.177,84.865,0,0,158629888,7444066304,18997248,678649856,0.210,0.080,0.020,41607405.883,57163143.833
11-08 09:26:32,12.857,2.411,84.733,0,0,159186944,7443427328,19054592,678662144,0.250,0.120,0.040,70816587.800,112462437.450
11-08 09:27:32,12.273,2.206,85.517,0.004,0,159391744,7443136512,19111936,678670336,0.350,0.180,0.060,93135373.900,157272868.250
11-08 09:28:32,12.294,2.311,85.391,0.004,0,159985664,7442448384,19177472,678682624,0.180,0.160,0.060,117283826.233,205762741.800
11-08 09:29:32,12.114,2.051,85.835,0,0,159711232,7442628608,19234816,678694912,0.160,0.160,0.070,151193344.050,271057660.317
11-08 09:30:32,12.141,2.114,85.745,0,0,159137792,7443116032,19292160,678707200,0.190,0.170,0.080,168625749.667,307378429.167
11-08 09:31:32,11.907,2.139,85.950,0.004,0,159502336,7443705856,19365888,677670912,0.210,0.170,0.090,182557425.650,336616068.283
11-08 09:32:32,12.641,1.175,86.184,0,0,158015488,7445041152,19415040,677679104,0.500,0.260,0.120,36063172.017,31258183.633
11-08 09:33:32,12.490,1.595,85.911,0.004,0,158306304,7444676608,19456000,677695488,0.450,0.290,0.140,84679666.233,56598618.417
11-08 09:34:32,13.360,2.164,84.476,0,0,156626944,7446269952,19505152,677711872,0.720,0.400,0.190,141314485.200,86115213.717
11-08 09:35:32,13.879,3.061,83.056,0.004,0,157753344,7445053440,19554304,677720064,0.670,0.450,0.220,200531152.017,116399103.083
11-08 09:36:32,14.188,3.288,82.524,0,0,158638080,7444090880,19607552,677728256,0.910,0.560,0.270,252716690.217,142381789.667
11-08 09:37:32,14.442,3.352,82.201,0.004,0,158932992,7443701760,19660800,677744640,0.850,0.610,0.310,289705014.567,160116259.050
11-08 09:38:32,14.781,3.032,82.186,0,0,158932992,7443619840,19714048,677752832,0.570,0.580,0.310,335744771.900,182886710.767
11-08 09:39:32,5.207,1.102,93.690,0,0,157843456,7444619264,19771392,677769216,0.280,0.500,0.300,123460142.633,66861554.383
11-08 09:40:32,0.159,0.079,99.758,0.004,0,157777920,7444611072,19836928,677777408,0.100,0.400,0.280,1021.417,1292.733
11-08 09:41:32,0.184,0.063,99.753,0,0,158089216,7444246528,19886080,677781504,0.040,0.330,0.260,1015.650,1286.083
11-08 09:42:32,0.175,0.084,99.741,0,0,158564352,7443697664,19939328,677797888,0.080,0.280,0.250,1017.483,1288.383
11-08 09:43:32,0.167,0.058,99.774,0,0,158531584,7443673088,19980288,677814272,0.100,0.260,0.240,1001.950,1240.533
11-08 09:44:32,0.175,0.104,99.716,0.004,0,158511104,7443632128,20029440,677826560,0.090,0.220,0.230,1012.383,1270.350
11-08 09:45:32,0.159,0.079,99.762,0,0,158466048,7443615744,20078592,677834752,0.030,0.180,0.210,1001.450,1318.317
11-08 09:46:32,0.188,0.054,99.758,0,0,159145984,7442874368,20127744,677847040,0.010,0.150,0.190,1008.333,1365.950
11-08 09:47:32,3.470,0.152,96.378,0,0,158228480,7443726336,20193280,677842944,0.110,0.150,0.190,19275951.400,37222220.933
11-08 09:48:32,5.718,0.797,93.481,0.004,0,157143040,7444754432,20234240,677859328,0.110,0.150,0.180,39649041.167,20760050.017
11-08 09:49:32,4.028,0.415,95.557,0,0,158138368,7443689472,20295680,677863424,0.170,0.160,0.180,49682268.417,91871215.067
