"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-wireguard-go-node1.csv 60",,,,"Date:","11 Aug 2019 14:44:22 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 14:44:22,2.757,1.338,95.720,0.185,0,290963456,7550668800,11767808,474914816,0.110,0.090,0.030,0,0
11-08 14:45:22,6.170,5.055,88.446,0.329,0,319488000,7020265472,26636288,920367104,0.580,0.200,0.070,561264609.417,559216268.117
11-08 14:46:22,8.633,10.922,80.445,0,0,321032192,7018283008,26718208,920371200,0.610,0.270,0.100,2215842815.450,2215843330.283
11-08 14:47:22,8.448,11.126,80.421,0.004,0,324128768,7014793216,26824704,920510464,0.700,0.360,0.140,2280674685.583,2280675289.917
11-08 14:48:22,7.893,10.316,81.787,0.004,0,325337088,7013429248,26906624,920514560,0.750,0.430,0.180,2141895629.883,2141896194.300
11-08 14:49:22,8.121,10.816,81.064,0,0,327897088,7010656256,27013120,920514560,0.820,0.500,0.220,2238622333.033,2238622819.117
11-08 14:50:22,7.790,11.243,80.963,0.004,0,331264000,7007178752,27095040,920510464,0.760,0.560,0.260,2381761346.417,2381761861.817
11-08 14:51:22,8.417,11.658,79.925,0,0,331452416,7008964608,27185152,918421504,0.600,0.560,0.280,2420670509.017,2420670991.150
11-08 14:52:22,8.576,11.257,80.162,0.004,0,334163968,7006101504,27283456,918421504,0.580,0.560,0.300,2315548881.817,2315549339.833
11-08 14:53:22,8.987,11.129,79.880,0.004,0,340766720,6999339008,27365376,918425600,0.570,0.580,0.320,2230939352.017,2230941088.233
11-08 14:54:22,9.200,11.050,79.750,0,0,343961600,6996041728,27455488,918417408,0.700,0.620,0.350,2243216427.033,2243216931.800
11-08 14:55:22,9.407,10.721,79.868,0.004,0,345997312,6993846272,27553792,918466560,0.850,0.690,0.390,2132450566.100,2132451022.250
11-08 14:56:22,8.955,11.159,79.886,0,0,345788416,6993960960,27635712,918458368,1.010,0.740,0.430,2251253938.383,2251254254.017
11-08 14:57:22,9.069,11.145,79.781,0.004,0,345468928,6994137088,27725824,918470656,0.790,0.730,0.440,2316498243.617,2316498672.483
11-08 14:58:22,8.878,10.953,80.165,0.004,0,346353664,6993137664,27807744,918470656,0.780,0.730,0.460,2266183735.883,2266184147.167
11-08 14:59:22,8.786,10.746,80.468,0,0,349650944,6987587584,27897856,920596480,0.780,0.740,0.480,2232467532.083,2232468021.367
11-08 15:00:22,8.957,10.264,80.774,0.004,0,371347456,6966788096,28000256,919556096,1.040,0.820,0.520,1523836008.083,1523873976.167
11-08 15:01:22,11.981,13.098,74.921,0,0,429813760,6908215296,28082176,919556096,1.080,0.870,0.560,6581634.917,5256931.900
11-08 15:02:22,12.262,13.208,74.526,0.004,0,457482240,6880428032,28180480,919560192,1.160,0.920,0.600,12128695.517,8074850.833
11-08 15:03:22,12.255,13.248,74.493,0.004,0,465129472,6872682496,28262400,919560192,1.020,0.940,0.630,17190195.283,10565698.683
11-08 15:04:22,12.296,13.335,74.369,0,0,478294016,6859386880,28368896,919564288,0.900,0.900,0.630,22364718.017,13134815.733
11-08 15:05:22,12.155,13.633,74.208,0.004,0,487104512,6850465792,28450816,919564288,1.030,0.950,0.670,27259522.200,15546209.350
11-08 15:06:22,12.476,13.617,73.902,0.004,0,487997440,6849462272,28532736,919568384,0.870,0.930,0.680,32059170.183,17937873.350
11-08 15:07:22,12.636,13.440,73.924,0,0,487497728,6849818624,28631040,919568384,1.010,0.970,0.710,36384150.233,20037619.300
11-08 15:08:22,12.759,12.190,75.046,0.004,0,482394112,6855884800,28712960,918519808,1.320,1.050,0.750,13486818.650,9756336.783
11-08 15:09:22,13.970,12.869,73.161,0,0,482742272,6855393280,28827648,918523904,1.060,1.050,0.770,6774758.133,10889093.400
11-08 15:10:22,14.117,12.557,73.321,0.004,0,482627584,6855401472,28917760,918523904,1.230,1.100,0.810,9600448.900,16483765.383
11-08 15:11:22,14.082,13.089,72.829,0,0,483123200,6854803456,29007872,918523904,1.290,1.130,0.840,12549033.533,22356824.167
11-08 15:12:22,14.285,12.907,72.803,0.004,0,483774464,6854029312,29106176,918528000,1.390,1.200,0.880,15307209.967,27836086.950
11-08 15:13:22,14.216,12.926,72.854,0.004,0,482926592,6854770688,29188096,918536192,1.430,1.240,0.920,17725967.033,32739243.117
11-08 15:14:22,14.281,12.957,72.762,0,0,483205120,6854352896,29286400,918536192,1.350,1.220,0.930,20115153.950,37479264.367
11-08 15:15:22,12.783,12.313,74.900,0.004,0,483217408,6854201344,29384704,918540288,1.040,1.150,0.920,711991582.867,724679020.100
11-08 15:16:22,9.705,10.558,79.732,0.004,0,485425152,6849761280,29474816,920641536,0.840,1.070,0.910,2060860432.517,2060860575.150
11-08 15:17:22,9.288,10.636,80.076,0,0,484065280,6850977792,29581312,920641536,0.580,0.950,0.880,2073804850.583,2073805026.133
11-08 15:18:22,9.199,10.333,80.464,0.004,0,485339136,6849593344,29663232,920645632,0.640,0.900,0.870,2075176784.133,2075175846.917
