"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-encap-go-node2.csv 60",,,,"Date:","12 Aug 2019 01:07:28 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
12-08 01:07:28,1.060,0.844,98.007,0.089,0,106315776,8029728768,6496256,201400320,0.020,0.010,0,0,0
12-08 01:08:28,2.679,1.455,95.635,0.231,0,151977984,7512576000,15937536,626819072,0.170,0.060,0.020,2068000.517,18789.033
12-08 01:09:28,0.167,0.088,99.745,0,0,155131904,7509315584,16011264,626831360,0.100,0.060,0.020,1058.317,929.550
12-08 01:10:28,0.184,0.079,99.733,0.004,0,156606464,7507693568,16084992,626839552,0.150,0.090,0.030,1052.767,912.600
12-08 01:11:28,0.226,0.138,99.637,0,0,157417472,7506821120,16134144,626851840,0.050,0.070,0.020,1050.150,952.450
12-08 01:12:28,0.163,0.088,99.745,0.004,0,157798400,7506370560,16191488,626860032,0.100,0.070,0.020,1023.667,913.767
12-08 01:13:28,0.154,0.096,99.750,0,0,158932992,7505137664,16257024,626872320,0.030,0.060,0.020,1025.667,930.300
12-08 01:14:28,0.171,0.058,99.766,0.004,0,159182848,7504797696,16314368,626888704,0.080,0.060,0.020,1044.267,973.667
12-08 01:15:28,0.184,0.121,99.695,0,0,159883264,7504015360,16379904,626900992,0.090,0.060,0.020,1034.350,995.683
12-08 01:16:28,0.179,0.104,99.712,0.004,0,159936512,7503896576,16437248,626909184,0.030,0.050,0.010,1039.050,1011.283
12-08 01:17:28,0.167,0.109,99.724,0,0,160399360,7503355904,16502784,626917376,0.010,0.040,0,1016.600,1011.667
12-08 01:18:28,0.205,0.046,99.745,0.004,0,160878592,7502807040,16551936,626929664,0,0.030,0,1051.517,1026.217
12-08 01:19:28,0.200,0.113,99.687,0,0,161660928,7501967360,16601088,626937856,0,0.020,0,1042.767,1050.733
12-08 01:20:28,0.226,0.125,99.649,0,0,161869824,7501684736,16650240,626958336,0,0.020,0,1045.783,1054.750
12-08 01:21:28,0.192,0.104,99.699,0.004,0,162127872,7501361152,16703488,626966528,0,0.010,0,1057.800,1085.783
12-08 01:22:28,0.209,0.083,99.708,0,0,162340864,7501086720,16752640,626978816,0.190,0.070,0.020,1044.733,1093.433
12-08 01:23:28,4.375,0.777,94.844,0.004,0,164782080,7498530816,16809984,626991104,0.140,0.070,0.020,5037148.333,4245551.300
12-08 01:24:28,13.024,1.772,85.204,0,0,164335616,7498772480,16875520,626999296,0.340,0.140,0.050,31979688.150,39764197.950
12-08 01:25:28,14.560,1.426,84.010,0.004,0,165056512,7497940992,16949248,627015680,0.980,0.360,0.130,57631641.983,87608444.850
12-08 01:26:28,12.192,1.934,85.870,0.004,0,167305216,7494537216,17014784,628068352,0.510,0.340,0.130,49521399.533,81368513.717
12-08 01:27:28,12.601,1.594,85.805,0,0,166584320,7495147520,17088512,628084736,0.690,0.400,0.170,86029087.617,147958383.900
12-08 01:28:28,11.739,1.592,86.670,0,0,163913728,7497744384,17145856,628092928,0.520,0.410,0.180,98216245.267,173585154.633
12-08 01:29:28,11.468,1.388,87.140,0.004,0,164392960,7497191424,17195008,628105216,0.650,0.450,0.210,111800073.900,201371408.550
12-08 01:30:28,11.552,1.784,86.664,0,0,164364288,7497146368,17244160,628113408,0.580,0.460,0.230,114889242.467,209564233
12-08 01:31:28,11.275,0.335,88.386,0.004,0,169586688,7491813376,17293312,628129792,0.750,0.520,0.260,35187455.300,44972164.217
12-08 01:32:28,12.544,0.256,87.200,0,0,169963520,7491362816,17342464,628142080,0.620,0.530,0.280,61708568.500,44120811.083
12-08 01:33:28,12.228,0.378,87.390,0.004,0,171315200,7489921024,17399808,628150272,0.550,0.520,0.290,78538868.450,49458149.683
12-08 01:34:28,12.663,0.508,86.828,0,0,171192320,7489912832,17465344,628162560,0.520,0.520,0.310,131512195.383,78409923.933
12-08 01:35:28,12.503,0.526,86.967,0.004,0,171360256,7489642496,17539072,628170752,0.510,0.520,0.320,139552430.050,80220235.800
12-08 01:36:28,12.731,0.518,86.750,0,0,170930176,7489957888,17616896,628187136,0.520,0.530,0.330,186366184.017,104789761.167
12-08 01:37:28,12.905,0.658,86.437,0,0,166146048,7495696384,17690624,627142656,0.480,0.520,0.350,208982488.733,115497872.867
12-08 01:38:28,8.845,0.571,90.580,0.004,0,165806080,7495888896,17764352,627167232,0.370,0.500,0.350,150874858.633,82718700.600
12-08 01:39:28,0.167,0.079,99.754,0,0,165920768,7495708672,17829888,627167232,0.130,0.400,0.330,1064.733,1348.933
12-08 01:40:28,0.138,0.117,99.745,0,0,166096896,7495458816,17883136,627183616,0.390,0.430,0.340,1040.417,1251.317
12-08 01:41:28,0.171,0.092,99.737,0,0,166146048,7495352320,17932288,627191808,0.400,0.440,0.350,1037.417,1296.250
12-08 01:42:28,0.175,0.096,99.724,0.004,0,166080512,7495335936,17989632,627212288,0.160,0.360,0.330,1062.800,1343.017
