"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-wireguard-node1.csv 60",,,,"Date:","11 Aug 2019 11:02:37 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 11:02:37,1.010,0.567,98.398,0.025,0,285245440,7652319232,11952128,382185472,0.070,0.120,0.050,0,0
11-08 11:03:37,5.918,4.116,89.371,0.595,0,326594560,7095955456,33366016,827994112,0.850,0.270,0.110,96496721.300,94448769.433
11-08 11:04:37,8.553,10.873,80.569,0.004,0,327872512,7094935552,33464320,827478016,0.740,0.360,0.150,2101123414.883,2101124910.583
11-08 11:05:37,8.789,11.591,79.616,0.004,0,333602816,7090503680,33546240,825921536,0.610,0.400,0.180,2304686090.217,2304686784.400
11-08 11:06:37,8.643,11.735,79.623,0,0,335671296,7088283648,33644544,825933824,0.810,0.500,0.230,2314751181.283,2314751837.267
11-08 11:07:37,8.599,11.668,79.729,0.004,0,336101376,7087517696,33730560,826077184,0.730,0.530,0.250,2283835963.167,2283836599.600
11-08 11:08:37,8.165,12.130,79.705,0,0,336691200,7086743552,33820672,826085376,0.790,0.590,0.290,2480817663.750,2480818339.067
11-08 11:09:37,8.394,11.707,79.899,0,0,337367040,7085936640,33902592,826105856,0.720,0.600,0.310,2402732694.933,2402733404.667
11-08 11:10:37,8.648,11.507,79.840,0.004,0,340025344,7083143168,33984512,826114048,0.840,0.650,0.350,2306147617.150,2306148302
11-08 11:11:37,9.066,11.192,79.738,0.004,0,341159936,7081852928,34099200,826126336,0.950,0.700,0.390,2229150679.167,2229151361.983
11-08 11:12:37,9.332,11.108,79.560,0,0,342310912,7080579072,34189312,826134528,1,0.760,0.420,2216111592.317,2216112246.100
11-08 11:13:37,9.641,10.677,79.677,0.004,0,341233664,7081529344,34271232,826146816,0.890,0.770,0.450,2095772353.333,2095773070.300
11-08 11:14:37,9.104,11.025,79.871,0,0,344039424,7076483072,34361344,828252160,0.670,0.720,0.460,2294864118.367,2294864846.500
11-08 11:15:37,8.921,10.747,80.328,0.004,0,345595904,7074811904,34443264,828264448,0.670,0.700,0.460,2247178938.517,2247179629.617
11-08 11:16:37,8.824,10.706,80.466,0.004,0,345276416,7074996224,34541568,828276736,0.970,0.760,0.500,2233390300.200,2233390983.550
11-08 11:17:37,8.730,10.514,80.756,0,0,346468352,7073677312,34623488,828289024,1.040,0.810,0.530,2153292696.683,2153293402.617
11-08 11:18:37,9.798,12.104,78.094,0.004,0,353996800,7067074560,34713600,827256832,1.180,0.850,0.560,1715268765.400,1715726346.267
11-08 11:19:37,12.851,17.539,69.609,0,0,352075776,7068823552,34795520,827301888,2.750,1.360,0.760,21409704.850,18145096.233
11-08 11:20:37,12.941,18.010,69.045,0.004,0,351047680,7069708288,34885632,827318272,3.630,1.850,0.960,41621827.183,28225061.983
11-08 11:21:37,12.927,18.774,68.295,0.004,0,352301056,7068332032,34992128,827326464,3.390,2.120,1.110,61244165.750,37953707.533
11-08 11:22:37,12.763,18.561,68.676,0,0,352010240,7068512256,35074048,827342848,3.480,2.370,1.260,79134467.600,46676515.667
11-08 11:23:37,12.959,19.039,67.998,0.004,0,350879744,7069503488,35164160,827342848,3.230,2.510,1.380,96795923.667,55391239.167
11-08 11:24:37,13.003,19.090,67.903,0.004,0,351199232,7069061120,35246080,827359232,2.380,2.430,1.420,112913991.600,63261262.867
11-08 11:25:37,13.014,18.499,68.486,0,0,351924224,7068233728,35328000,827371520,2.330,2.410,1.480,129057006.317,71102762.733
11-08 11:26:37,15.241,13.970,70.784,0.004,0,345825280,7075266560,35426304,826335232,1.910,2.330,1.520,50434018.133,32654433.633
11-08 11:27:37,16.610,12.369,71.017,0.004,0,346415104,7074545664,35524608,826351616,2.190,2.330,1.570,23441574.267,33177801.133
11-08 11:28:37,16.228,12.437,71.331,0.004,0,346759168,7074095104,35606528,826359808,1.740,2.190,1.570,32490867.467,51911304.217
11-08 11:29:37,16.590,12.256,71.154,0,0,346947584,7073796096,35688448,826372096,1.960,2.180,1.600,41028923.567,69511338.183
11-08 11:30:37,16.651,13.248,70.101,0,0,347459584,7073173504,35778560,826380288,2.240,2.200,1.640,53183049.167,93259174.283
11-08 11:31:37,16.468,13.346,70.181,0.004,0,347357184,7073124352,35880960,826388480,1.980,2.160,1.660,62414223.100,111846153.533
11-08 11:32:37,16.432,13.585,69.982,0,0,346943488,7073415168,35962880,826413056,2.130,2.170,1.700,70454050.600,128318841.617
11-08 11:33:37,14.202,12.695,73.098,0.004,0,347246592,7072972800,36052992,826421248,1.600,2.030,1.680,738202819.117,780463041.583
11-08 11:34:37,9.699,10.625,79.672,0.004,0,346337280,7071645696,36143104,828526592,0.930,1.750,1.610,2059499082.667,2059499712.750
