"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-boringtun-node2.csv 60",,,,"Date:","11 Aug 2019 13:56:50 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 13:56:50,0.619,0.554,98.754,0.073,0,114450432,8025374720,6483968,197726208,0,0,0,0,0
11-08 13:57:50,4.324,2.714,92.651,0.311,0,157167616,7499079680,22417408,623128576,0.280,0.090,0.030,2069175.967,21493.667
11-08 13:58:50,0.242,0.142,99.616,0,0,160010240,7496167424,22482944,623128576,0.100,0.070,0.020,1088.967,953.033
11-08 13:59:50,0.213,0.138,99.649,0,0,162054144,7494037504,22544384,623153152,0.040,0.050,0.020,1035.450,916.883
11-08 14:00:50,0.217,0.088,99.691,0.004,0,163127296,7492874240,22614016,623161344,0.010,0.040,0.010,1056.517,953.583
11-08 14:01:50,0.229,0.159,99.608,0.004,0,163774464,7492157440,22671360,623173632,0.070,0.060,0.020,1048.400,948.450
11-08 14:02:50,0.200,0.092,99.708,0,0,164102144,7491772416,22720512,623181824,0.090,0.060,0.020,981.683,984.117
11-08 14:03:50,0.209,0.138,99.653,0,0,164761600,7491047424,22769664,623194112,0.030,0.050,0.010,1080.250,999.750
11-08 14:04:50,0.209,0.125,99.666,0,0,165244928,7490498560,22818816,623210496,0.010,0.040,0.010,1034.717,1001.017
11-08 14:05:50,0.204,0.100,99.691,0.004,0,165253120,7490424832,22876160,623218688,0.210,0.080,0.020,1039.800,1007.367
11-08 14:06:50,0.234,0.121,99.645,0,0,166133760,7489482752,22917120,623230976,0.140,0.080,0.020,1062.483,1051.733
11-08 14:07:50,0.209,0.121,99.670,0,0,165826560,7489732608,22966272,623239168,0.050,0.060,0.010,1061.283,1029.450
11-08 14:08:50,0.192,0.163,99.645,0,0,166010880,7489474560,23023616,623255552,0.180,0.080,0.020,1068.167,1051
11-08 14:09:50,0.246,0.125,99.624,0.004,0,167276544,7488151552,23072768,623263744,0.060,0.060,0.010,1104.983,1208.967
11-08 14:10:50,0.217,0.138,99.645,0,0,167428096,7487942656,23121920,623271936,0.020,0.050,0.010,967.967,918.233
11-08 14:11:50,0.200,0.121,99.679,0,0,167333888,7487967232,23187456,623276032,0.040,0.050,0.010,1041.683,1084.150
11-08 14:12:50,8.389,8.233,83.373,0.004,0,169103360,7484952576,23244800,624345088,0.770,0.230,0.070,4088469.467,5599512.367
11-08 14:13:50,13.482,13.440,73.078,0,0,169472000,7484481536,23318528,624357376,1.220,0.480,0.160,9812463.633,15260973.450
11-08 14:14:50,13.753,13.069,73.174,0.004,0,169713664,7484067840,23392256,624369664,1.220,0.620,0.230,14103725.567,23542648.317
11-08 14:15:50,13.675,13.488,72.837,0,0,170090496,7483604992,23449600,624381952,1.300,0.730,0.290,17229149.433,29826157.900
11-08 14:16:50,13.691,13.207,73.102,0,0,170377216,7483224064,23498752,624390144,1.390,0.850,0.360,20984797.417,37130753.250
11-08 14:17:50,13.646,13.388,72.961,0.004,0,170242048,7483281408,23547904,624406528,1.210,0.910,0.410,24923634.667,44829431.767
11-08 14:18:50,13.869,13.072,73.059,0,0,170344448,7483109376,23597056,624414720,1.230,0.970,0.470,27832541,50575471.183
11-08 14:19:50,12.477,11.808,75.715,0,0,169693184,7484735488,23646208,623378432,1.350,1.070,0.530,27732478,50693513.233
11-08 14:20:50,12.284,13.511,74.205,0,0,170872832,7483449344,23719936,623390720,1.180,1.070,0.570,9158396.183,8114473.433
11-08 14:21:50,12.333,13.335,74.328,0.004,0,171204608,7483019264,23793664,623398912,0.860,1,0.570,17263297.933,11906097.933
11-08 14:22:50,12.390,13.844,73.766,0,0,172032000,7482093568,23867392,623415296,0.750,0.930,0.570,26431417.683,16555556.133
11-08 14:23:50,12.359,13.700,73.941,0,0,172371968,7481663488,23932928,623423488,0.550,0.850,0.570,34939327.983,20773250.883
11-08 14:24:50,12.449,13.760,73.787,0.004,0,172675072,7481286656,23982080,623435776,0.790,0.880,0.590,44058409.683,25361682.500
11-08 14:25:50,12.476,13.912,73.613,0,0,170164224,7483703296,24031232,623448064,0.990,0.920,0.620,50189029.567,28261313.417
11-08 14:26:50,12.446,13.786,73.768,0,0,170606592,7483170816,24080384,623460352,0.570,0.830,0.620,57701994.383,31979470.917
11-08 14:27:50,4.379,4.821,90.796,0.004,0,170491904,7483224064,24129536,623472640,0.390,0.740,0.600,21223174.350,11704063.367
11-08 14:28:50,0.230,0.138,99.633,0,0,169992192,7483666432,24178688,623480832,0.140,0.600,0.560,1011.850,1160.333
11-08 14:29:50,0.192,0.109,99.699,0,0,169459712,7484133376,24227840,623497216,0.050,0.490,0.520,1060.617,1340.650
11-08 14:30:50,0.213,0.159,99.624,0.004,0,169930752,7483576320,24297472,623509504,0.020,0.400,0.480,1057.883,1356.617
11-08 14:31:50,0.234,0.150,99.616,0,0,169246720,7484157952,24383488,623525888,0,0.320,0.450,1098.067,1394.117
11-08 14:32:50,0.229,0.121,99.645,0.004,0,169472000,7483867136,24432640,623542272,0,0.260,0.420,1053.067,1384.417
11-08 14:33:50,0.188,0.163,99.649,0,0,169369600,7483908096,24481792,623554560,0.080,0.230,0.400,1062.283,1372.817
11-08 14:34:50,0.246,0.084,99.670,0,0,169365504,7483858944,24522752,623566848,0.030,0.180,0.370,1073.100,1459.233
11-08 14:35:50,3.469,0.457,96.074,0,0,172953600,7480221696,24580096,623558656,0.010,0.150,0.340,12063637.500,249073.667
11-08 14:36:50,2.767,3.071,94.162,0,0,171065344,7482028032,24637440,623579136,0.070,0.150,0.330,285349286.500,2886706.050
11-08 14:37:50,4.125,3.912,91.958,0.004,0,170045440,7482990592,24694784,623579136,0.130,0.160,0.330,10394736.750,19457671.200
11-08 14:38:50,0.355,0.259,99.382,0.004,0,137371648,7516274688,24813568,623464448,0.050,0.130,0.300,18446744073318447104,18446744073570781184
