"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-7-36",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output /var/log/dstat.csv 60",,,,"Date:","17 Aug 2019 17:15:24 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
17-08 17:15:24,12.013,2.451,85.014,0.515,0.007,425418752,1910235136,149487616,5274865664,0.360,0.170,0.110,0,0
17-08 17:16:24,3.421,1.819,92.186,2.574,0,465158144,1270341632,150249472,5825073152,0.540,0.270,0.150,6952.233,2068.417
17-08 17:17:24,18.854,5.244,75.885,0.009,0.009,468807680,1266634752,150265856,5825077248,1.180,0.520,0.250,568602945.433,570309432.150
17-08 17:18:24,0.939,0.377,98.584,0.101,0,486821888,1247739904,150777856,5825368064,0.430,0.420,0.230,693.883,979.550
17-08 17:19:24,0.746,0.394,98.852,0.008,0,488165376,1246416896,150794240,5825368064,0.160,0.340,0.210,561.133,858.733
17-08 17:20:24,0.804,0.444,98.744,0,0.008,489422848,1245138944,150806528,5825368064,0.060,0.280,0.200,584.550,871.800
17-08 17:21:24,11.140,5.588,83.264,0.009,0,491134976,1243394048,150835200,5825368064,0.120,0.260,0.190,441939038.867,315608623.300
17-08 17:22:24,5.444,2.635,91.912,0,0.009,496074752,1238433792,150851584,5825368064,0.260,0.270,0.200,105001924.500,208116293.933
17-08 17:23:24,1.525,0.729,97.729,0.017,0,460075008,1274712064,150884352,5825216512,0.250,0.280,0.200,18446744073355507712,18446744073317294080
17-08 17:24:24,0.796,0.436,98.735,0.034,0,459993088,1274884096,150917120,5825155072,0.090,0.220,0.180,371.333,711.883
